product,url,expected_price
kid book,https://www.chapters.indigo.ca/en-ca/books/squishmallows-the-official-collector-s/9780063219656-item.html?ikwsec=Home&ikwidx=0#algoliaQueryId=9c51e3b1f8acd56b2a76a782658571cd,20
FAIRY TALE, https://www.chapters.indigo.ca/en-ca/books/fairy-tale/9781668002179-item.html?ref=shop%3abooks%3abooks-main%3abuzzworthy-books%3a3%3a,30
